fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Mike Breeden,Anshul Jubli,1,0,94 of 181,104 of 195,92 of 177,103 of 194,75 of 157,63 of 145,11 of 13,27 of 36,6 of 7,13 of 13,89 of 174,97 of 181,2 of 2,6 of 13,1 of 1,0 of 0,0 of 1,0 of 5,0,0,0,0,0:01,0:05,W,KO/TKO,3,3:00,Marc Goddard,http://ufcstats.com/fight-details/75c5f923f966b53b
Nathaniel Wood,Muhammad Naimov,0,0,70 of 94,100 of 140,50 of 72,48 of 81,37 of 57,31 of 60,6 of 7,10 of 13,7 of 8,7 of 8,36 of 56,24 of 48,5 of 6,11 of 14,9 of 10,13 of 19,2 of 7,4 of 9,0,0,0,1,2:44,6:42,L,Decision - Unanimous,3,5:00,Lukasz Bosacki,http://ufcstats.com/fight-details/b84c447bb74febe2
Viktoriia Dudakova,Jinh Yu Frey,1,0,109 of 183,65 of 121,74 of 146,47 of 101,47 of 115,31 of 80,26 of 30,8 of 13,1 of 1,8 of 8,60 of 131,37 of 89,14 of 15,3 of 4,0 of 0,7 of 8,0 of 3,1 of 3,0,0,0,0,0:18,4:40,W,Decision - Unanimous,3,5:00,Daniel Movahedi,http://ufcstats.com/fight-details/18e5af00a8478a0e
Shara Magomedov,Bruno Silva,0,0,222 of 274,107 of 138,113 of 154,65 of 91,56 of 92,51 of 76,22 of 24,6 of 7,35 of 38,8 of 8,74 of 106,35 of 56,15 of 21,5 of 5,24 of 27,25 of 30,0 of 0,3 of 7,0,0,0,0,0:00,6:44,W,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/539732694ab2c8d6
Sodiq Yusuff,Edson Barboza,1,1,206 of 397,178 of 347,178 of 351,164 of 324,126 of 284,71 of 204,14 of 20,89 of 112,38 of 47,4 of 8,148 of 311,134 of 290,15 of 18,25 of 27,15 of 22,5 of 7,1 of 2,3 of 4,0,0,0,0,3:56,3:04,L,Decision - Unanimous,5,5:00,Herb Dean,http://ufcstats.com/fight-details/824859c7580eb35b
Jennifer Maia,Viviane Araujo,0,0,60 of 126,64 of 100,41 of 101,24 of 46,29 of 87,15 of 36,2 of 4,4 of 5,10 of 10,5 of 5,31 of 88,22 of 43,10 of 13,1 of 2,0 of 0,1 of 1,2 of 4,2 of 6,0,1,0,0,1:25,7:03,L,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/751cf3d52fce1d1f
Jonathan Martinez,Adrian Yanez,2,0,36 of 60,20 of 73,36 of 58,20 of 72,7 of 15,9 of 59,0 of 2,10 of 12,29 of 41,1 of 1,36 of 58,17 of 66,0 of 0,3 of 6,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:19,0:10,W,KO/TKO,2,2:26,Kerry Hatley,http://ufcstats.com/fight-details/0d6d212fcdf47f2e
Andre Petroski,Michel Pereira,0,1,0 of 1,6 of 18,0 of 1,6 of 18,0 of 1,5 of 17,0 of 0,1 of 1,0 of 0,0 of 0,0 of 1,2 of 6,0 of 0,0 of 0,0 of 0,4 of 12,0 of 0,0 of 0,0,0,0,0,0:00,0:04,L,KO/TKO,1,1:06,Chris Tognoni,http://ufcstats.com/fight-details/6acd1c591170f597
Christian Rodriguez,Cameron Saaiman,0,0,92 of 173,87 of 192,83 of 161,73 of 175,64 of 141,38 of 121,18 of 19,14 of 21,1 of 1,21 of 33,63 of 131,65 of 160,13 of 21,8 of 15,7 of 9,0 of 0,3 of 6,0 of 5,2,1,1,0,3:12,1:26,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/0197a61472fc351d
Darren Elkins,TJ Brown,0,0,95 of 146,45 of 86,11 of 33,15 of 50,8 of 29,11 of 45,3 of 3,1 of 2,0 of 1,3 of 3,11 of 32,15 of 49,0 of 1,0 of 0,0 of 0,0 of 1,5 of 8,2 of 2,2,0,1,1,8:09,1:29,W,Submission,3,2:23,Kerry Hatley,http://ufcstats.com/fight-details/3a8af8ee23444b72
Tainara Lisboa,Ravena Oliveira,0,0,77 of 106,61 of 87,18 of 35,15 of 31,9 of 24,10 of 23,8 of 9,3 of 6,1 of 2,2 of 2,7 of 20,13 of 28,11 of 12,2 of 3,0 of 3,0 of 0,3 of 8,2 of 3,0,0,0,0,6:55,5:22,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/5b7b5b01f4dcbd9c
Terrance McKinney,Brendon Marotte,1,0,14 of 21,1 of 1,14 of 21,1 of 1,14 of 21,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 1,1 of 1,1 of 1,0 of 0,13 of 19,0 of 0,0 of 0,0 of 0,0,0,0,0,0:15,0:00,W,KO/TKO,1,0:20,Herb Dean,http://ufcstats.com/fight-details/7f7d2abc21f171ca
